;total_pacotes;total_pacotes_icmp;total_pacotes_udp;total_pacotes_tcp;maior_pacote;menor_pacote;soma_pacotes;total_ips_origem;total_ips_destino;porta_origem_mais_frequente;porta_destino_mais_frequente;has_bot
0;3802;6;378;3376;1514;60;2808555;213;226;80.0;1078.0;0
1;3259;3;407;2780;1514;60;2097318;203;223;80.0;1078.0;0
2;3966;4;327;3587;1514;60;2851044;202;202;80.0;1078.0;0
3;3889;9;345;3508;1514;60;2781297;196;208;80.0;1078.0;0
4;4077;2;296;3713;1514;60;2923539;184;188;80.0;1078.0;0
5;4058;3;354;3660;1514;60;2845216;192;204;80.0;1078.0;0
6;3721;4;357;3307;1514;60;2362136;193;202;80.0;1078.0;0
7;2127;3;347;1723;1514;60;967012;200;208;62860.0;13121.0;0
8;2579;5;330;2182;1514;60;1363640;195;204;80.0;13121.0;0
9;3258;4;326;2849;1514;60;1844085;206;210;80.0;80.0;0
10;3977;4;328;3568;1514;60;2665308;202;209;80.0;80.0;0
11;2779;7;366;2347;1514;60;1456515;220;225;80.0;80.0;0
12;1993;3;375;1531;1514;60;977598;221;217;80.0;13121.0;0
13;2727;5;424;2247;1514;60;1681707;191;203;80.0;80.0;0
14;3479;3;417;2937;1514;60;2281845;230;243;80.0;1078.0;0
15;3753;12;482;3188;1514;60;2342946;255;271;80.0;80.0;0
16;4843;4;319;4399;1514;60;3361594;181;182;80.0;80.0;0
17;5086;2;343;4635;1514;60;3620310;194;211;80.0;80.0;0
18;4970;3;331;4582;1514;60;3907298;181;195;80.0;80.0;0
19;4616;6;342;4224;1514;60;3592097;199;200;80.0;80.0;0
20;3740;8;296;3365;1514;60;2717497;145;159;80.0;1078.0;0
21;3466;5;353;3060;1514;60;2311084;196;211;80.0;80.0;0
22;2699;7;386;2222;1514;60;1572909;207;219;80.0;80.0;0
23;1951;7;336;1572;1514;60;1067446;170;181;80.0;13121.0;0
24;2268;11;388;1832;1514;60;1204782;220;234;80.0;80.0;0
25;2681;4;364;2211;1514;60;1585760;211;216;80.0;80.0;0
26;3178;6;358;2740;1514;60;2181788;205;220;80.0;80.0;0
27;3261;8;383;2796;1514;60;2254332;206;219;80.0;80.0;0
28;3557;6;420;3064;1514;60;2502065;184;193;80.0;80.0;0
29;5181;9;572;4548;1514;60;4511579;185;203;80.0;49365.0;0
30;3011;8;484;2473;1514;60;2031866;165;185;80.0;80.0;0
31;2923;7;555;2313;1514;60;1847625;197;220;80.0;80.0;0
32;2531;4;434;2018;1514;60;1427188;220;229;80.0;80.0;0
33;3085;9;534;2497;1514;60;1883778;188;203;80.0;80.0;0
34;3107;11;654;2370;1514;60;1964388;215;223;80.0;80.0;0
35;3453;6;706;2693;1514;60;2127269;217;228;80.0;80.0;0
36;3881;10;687;3108;1514;60;2577017;231;246;80.0;80.0;0
37;4268;5;692;3404;1514;60;2722601;211;226;80.0;80.0;0
38;3866;4;748;3036;1514;60;2550886;247;249;80.0;80.0;0
39;4367;1;692;3604;1514;60;2897729;193;211;80.0;80.0;0
40;2816;7;678;2070;1514;60;1562169;218;208;80.0;13121.0;0
41;2303;4;685;1479;1514;60;1071345;202;214;62860.0;13121.0;0
42;2789;9;657;1951;1514;60;1450543;222;235;80.0;13121.0;0
43;3809;8;698;3006;1514;60;1929475;235;250;993.0;47926.0;0
44;5916;10;649;4855;1514;60;2250133;220;229;993.0;47926.0;0
45;7838;11;675;7094;1514;60;3504195;202;214;993.0;47926.0;0
46;3585;8;644;2825;1514;60;1656927;190;207;993.0;47926.0;0
47;3984;6;688;3200;1514;60;2516309;195;208;80.0;80.0;0
